Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
8-Apr,Tues,Mariiners,AL West,AL,at Seattle 5 LA Angels 3,Paxton (2-0),Santiago (0-2),Rodney (2),45661,,,
8-Apr,Tues,Dodgers,NL West,NL,at LA Dodgers 3 Detroit 2,Howell (1-0),Chamberlain (0-1),,53231,y,,
9-Apr,Weds,Indians,AL Central,AL,at Cleveland 2 San Diego 0,McAllister (1-0),Stults (0-2),Axford (4),N/A,y,,
9-Apr,Weds,Twins,AL Central,AL,Oakland 7 at Minnesota 4,Otero (1-0),Burton (0-1),,22973,,,
9-Apr,Weds,Cardinals,NL Central,NL,Cincinnati 4 at St. Louis 0,Leake (1-1),Miller (0-2),,41137,,,
9-Apr,Weds,Royals,AL Central,AL,at Kansas City 7 Tampa Bay 3,Guthrie (2-0),Odorizzi (1-1),,13612,,,
9-Apr,Weds,Rockies,NL West,NL,at Colorado 10 Chicago White Sox 4,Brothers (1-0),Downs (0-2),,22745,y,,
9-Apr,Weds,Indians,AL Central,AL,San Diego 2 at Cleveland 1,Erlin (1-0),Bauer (0-1),Street (3),9930,y,,
9-Apr,Weds,Red Sox,AL East,AL,at Boston 4 Texas 2,Miller (1-0),Ogando (0-1),Uehara (2),33585,,,
9-Apr,Weds,Blue Jays,AL East,AL,at Toronto 7 Houston 3,Morrow (1-1),Harrell (0-2),,13569,,,
9-Apr,Weds,Yankees,AL East,AL,Baltimore 5 at NY Yankees 4,Matusz (1-0),Kelley (0-1),Hunter (3),39412,,,
9-Apr,Weds,Nationals,NL East,NL,at Washington 10 Miami 7,Clippard (1-1),Marmol (0-1),Soriano (2),21190,,,
9-Apr,Weds,Phillies,NL East,NL,Milwaukee 9 at Philadelphia 4,Thornburg (2-0),Bastardo (0-1),,31168,,,
9-Apr,Weds,Braves,NL East,NL,at Atlanta 4 NY Mets 3,Santana (1-0),Wheeler (0-2),Kimbrel (4),19608,,,
9-Apr,Weds,Cubs,NL Central,NL,at Chicago Cubs 7 Pittsburgh 5,Hammel (2-0),Rodriguez (0-2),,28247,,,
9-Apr,Weds,Mariiners,AL West,AL,LA Angels 2 at Seattle 0,Richards (2-0),Elias (0-1),Frieri (1),16437,,,
9-Apr,Weds,Dodgers,NL West,NL,Detroit 7 at LA Dodgers 6,Nathan (2-0),Jansen (0-1),Alburquerque (1),42687,y,,
9-Apr,Weds,Giants,NL West,NL,Arizona 7 at San Francisco 3,Arroyo (1-0),Lincecum (0-1),Collmenter (1),41157,,,
10-Apr,Thurs,Twins,AL Central,AL,Oakland 6 at Minnesota 1,Straily (1-1),Pelfrey (0-2),,20650,,,
10-Apr,Thurs,Cubs,NL Central,NL,Pittsburgh 5 at Chicago Cubs 4,Cole (2-0),Russell (0-1),Grilli (3),25502,,,
10-Apr,Thurs,Nationals,NL East,NL,at Washington 7 Miami 1,Strasburg (1-1),Koehler (1-1),,20869,,,
10-Apr,Thurs,Yankees,AL East,AL,at NY Yankees 4 Boston 1,Pineda (1-1),Buchholz (0-1),Phelps (1),42821,,,
10-Apr,Thurs,Phillies,NL East,NL,Milwaukee 6 at Philadelphia 2,Estrada (1-0),Lee (2-1),,25492,,,
10-Apr,Thurs,Blue Jays,AL East,AL,Houston 6 at Toronto 4,Keuchel (1-1),Dickey (1-2),Bass (1),15778,,,
10-Apr,Thurs,Braves,NL East,NL,NY Mets 6 at Atlanta 4,Torres (2-0),Avilan (1-1),Valverde (2),29470,,,
10-Apr,Thurs,White Sox,AL Central,AL,at Chicago White Sox 7 Cleveland 3,Danks (1-0),Salazar (0-1),,11116,,,
10-Apr,Thurs,Giants,NL West,NL,Arizona 6 at San Francisco 5,Putz (1-0),Petit (0-1),Reed (3),41577,,,
11-Apr,Fri,Orioles,AL East,AL,Toronto 2 at Baltimore 0,McGowan (1-1),Tillman (1-1),Santos (4),22327,,,
11-Apr,Fri,Yankees,AL East,AL,Boston 4 at NY Yankees 2,Lester (1-2),Sabathia (1-2),Mujica (1),44121,,,
11-Apr,Fri,Phillies,NL East,NL,at Philadelphia 6 Miami 3,Diekman (1-0),Fernandez (2-1),Papelbon (2),22283,,,
11-Apr,Fri,Reds,NL Central,NL,Tampa Bay 2 at Cincinnati 1,Price (2-0),Cueto (0-2),Balfour (3),30502,y,,
11-Apr,Fri,Braves,NL East,NL,at Atlanta 7 Washington 6,Avilan (2-1),Blevins (1-1),,28243,,,
11-Apr,Fri,Rangers,AL West,AL,at Texas 1 Houston 0,Frasor (1-0),Peacock (0-1),,36150,,,
11-Apr,Fri,White Sox,AL Central,AL,at Chicago White Sox 9 Cleveland 6,Sale (3-0),Carrasco (0-2),,13605,,,
11-Apr,Fri,Brewers,NL Central,NL,at Milwaukee 4 Pittsburgh 2,Peralta (1-0),Liriano (0-2),Rodriguez (3),27469,,,
11-Apr,Fri,Twins,AL Central,AL,at Minnesota 10 Kansas City 1,Gibson (2-0),Chen (0-1),,24338,,,
11-Apr,Fri,Cardinals,NL Central,NL,Chicago Cubs 6 at St. Louis 3,Grimm (1-0),Rosenthal (0-1),Rondon (1),43903,,,
11-Apr,Fri,Dbacks,NL West,NL,LA Dodgers 6 at Arizona 0,Ryu (1-1),McCarthy (0-2),,33349,,,
11-Apr,Fri,Angels,AL West,AL,at LA Angels 5 NY Mets 4,Kohn (1-0),Familia (0-2),,42871,y,,
11-Apr,Fri,Mariiners,AL West,AL,at Seattle 6 Oakland 4,Hernandez (3-0),Milone (0-1),Rodney (3),38968,,,
11-Apr,Fri,Padres,NL West,NL,at San Diego 6 Detroit 0,Cashner (1-1),Porcello (1-1),,30353,y,,
11-Apr,Fri,Giants,NL West,NL,at San Francisco 6 Colorado 5,Bumgarner (2-0),De La Rosa (0-2),Romo (3),41707,,,
12-Apr,Sat,Yankees,AL East,AL,at NY Yankees 7 Boston 4,Kuroda (2-1),Lackey (2-1),Kelley (2),48572,,,
12-Apr,Sat,Reds,NL Central,NL,Tampa Bay 1 at Cincinnati 0,Cobb (1-1),Simon (1-1),Balfour (4),35356,y,,
12-Apr,Sat,White Sox,AL Central,AL,Cleveland 12 at Chicago White Sox 6,Outman (2-0),Belisario (1-1),,27332,,,
12-Apr,Sat,Twins,AL Central,AL,at Minnesota 7 Kansas City 1,Nolasco (1-1),Shields (0-2),,23963,,,
12-Apr,Sat,Cardinals,NL Central,NL,at St. Louis 10 Chicago Cubs 4,Wainwright (2-1),Villanueva (1-3),,45302,,,
12-Apr,Sat,Giants,NL West,NL,Colorado 1 at San Francisco 0,Kahnle (2-0),Cain (0-2),Hawkins (2),41917,,,
12-Apr,Sat,Orioles,AL East,AL,at Baltimore 2 Toronto 1,Britton (2-0),Redmond (0-1),,30446,,,
12-Apr,Sat,Phillies,NL East,NL,at Philadelphia 5 Miami 4,Rosenberg (1-0),Jennings (0-1),,27760,,,
